cop_l_x	cop_l_y	cop_l_z	for_l_x	for_l_y	for_l_z	mom_l_x	mom_l_y	mom_l_z	cop_r_x	cop_r_y	cop_r_z	for_r_x	for_r_y	for_r_z	mom_r_x	mom_r_y	mom_r_z
-0.057583	0.0	-0.071038	94.01616700000001	687.6712650000001	75.864639	48.850525	4.921068	-39.598347	4.180615	0.0	1.9051150000000001	-49.075759999999995	-2.426406	-5.827019	4.6225830000000006	-5.152751	-10.14387
-0.057433000000000005	0.0	-0.061072	94.121025	666.810791	69.109756	40.723704999999995	5.045179	-38.297176	-20.482129999999998	0.0	-7.375342999999999	-49.686489	0.489547	-6.991433	3.610578	-5.13959	-10.026966999999999
-0.057196000000000004	0.0	-0.050923	94.12043800000001	644.854858	63.002646999999996	32.837925	5.140433	-36.88308	-2.922841	0.0	-0.749954	-50.229843	3.38466	-8.144342	2.538339	-5.1210379999999995	-9.892822
-0.056861	0.0	-0.040695	93.921486	622.8477780000001	57.515198	25.346954	5.174701	-35.415493	-1.614719	0.0	-0.270323	-50.780018	6.0532699999999995	-9.210614999999999	1.636336	-5.119415	-9.77433
-0.056442	0.0	-0.030889	93.469177	602.6693730000001	52.77421999999999	18.616051000000002	5.133287999999999	-34.015877	-1.1721139999999999	0.0	-0.12373900000000002	-51.371387	8.271831	-10.09907	1.0235459999999998	-5.153372	-9.695532
-0.05575599999999999	0.0	-0.017464	92.389534	577.938904	47.017189	10.093345	5.0020620000000005	-32.22385	-0.902185	0.0	-0.043873	-52.300751	10.701222	-11.105558	0.46949300000000005	-5.245337	-9.65448
-0.055438999999999995	0.0	-0.011865	91.760788	568.838684	44.813526	6.749434	4.928999	-31.535965	-0.839888	0.0	-0.025552000000000002	-52.737511	11.505121	-11.507261999999999	0.293983	-5.281966000000001	-9.663008999999999
-0.054879	0.0	-0.002798	90.495918	555.8431400000001	41.349003	1.555507	4.773921	-30.50396	-0.7737350000000001	0.0	-0.0053549999999999995	-53.528339	12.561558999999999	-12.215150999999999	0.06726900000000001	-5.316267	-9.719313
-0.054262	0.0	0.006441	88.97274	544.705811	38.000206	-3.508571	4.608377	-29.556590999999997	-0.734267	0.0	0.004935	-54.396781999999995	13.388909	-12.92121	-0.066072	-5.377884	-9.831035
-0.053621	0.0	0.015569	87.36492199999999	535.6904910000001	34.933098	-8.34031	4.478184	-28.724358000000002	-0.7078369999999999	0.0	0.004984000000000001	-55.269279000000004	14.086597	-13.50947	-0.07020900000000001	-5.496037	-9.971022
-0.053011	0.0	0.024122	85.84944200000001	529.091125	32.242275	-12.76298	4.369894	-28.047518	-0.6897220000000001	0.0	-0.003222	-56.092690000000005	14.674238	-14.008173000000001	0.047282	-5.615411	-10.121145
-0.052447	0.0	0.032712	84.38679499999999	524.456848	29.679066	-17.155884	4.227403	-27.506218	-0.680846	0.0	-0.014153	-56.933795999999994	15.128797	-14.525554000000001	0.214112	-5.720366	-10.300385
-0.05200900000000001	0.0	0.040873	83.11569200000001	521.965393	27.386592999999998	-21.334309	4.04128	-27.147034	-0.681087	0.0	-0.020105	-57.746432999999996	15.397739000000001	-14.999948999999999	0.30957199999999996	-5.8360330000000005	-10.487207000000001
-0.051699	0.0	0.049217000000000004	82.013725	521.2488400000001	25.194897	-25.654091	3.8328260000000003	-26.947922	-0.6874399999999999	0.0	-0.021282	-58.549866	15.530542	-15.446653	0.330527	-5.9765760000000006	-10.676314999999999
-0.05155800000000001	0.0	0.057787	81.156464	522.2981570000001	23.032196	-30.182064	3.637083	-26.928808	-0.6954779999999999	0.0	-0.024569999999999998	-59.293537	15.604559	-15.85718	0.38340599999999997	-6.101667	-10.852634
-0.051616999999999996	0.0	0.066602	80.542969	525.126709	20.807316	-34.974266	3.462505	-27.105719	-0.698886	0.0	-0.033257999999999996	-59.975563	15.740433	-16.201926999999998	0.523494	-6.199349	-11.000772
-0.051883000000000006	0.0	0.075551	80.119781	529.676147	18.417692000000002	-40.017799	3.291732	-27.481195	-0.693762	0.0	-0.045379	-60.64824300000001	16.01199	-16.48477	0.726611	-6.281064	-11.108511
-0.052351	0.0	0.08476399999999999	79.833908	536.026855	15.615948999999999	-45.435520000000004	3.067625	-28.06131	-0.683424	0.0	-0.057727	-61.378674	16.378801	-16.786638	0.945499	-6.3239730000000005	-11.193665
-0.053	0.0	0.094013	79.71772800000001	544.1259769999999	12.284927	-51.154922	2.766331	-28.838596000000003	-0.673621	0.0	-0.066604	-62.131176	16.741737	-17.169191	1.1150719999999998	-6.316545	-11.277592
-0.053839	0.0	0.103403	79.87529	554.2069700000001	8.285401	-57.30686600000001	2.41528	-29.837812	-0.6653939999999999	0.0	-0.07029400000000001	-62.833664	17.074396	-17.607615	1.200228	-6.296322	-11.361195
-0.054858000000000004	0.0	0.11273699999999999	80.391068	566.257568	3.624032	-63.837959	2.070263	-31.063963	-0.658575	0.0	-0.069673	-63.407978	17.372465	-18.05451	1.2103899999999999	-6.282679	-11.441071
-0.056017	0.0	0.121813	81.25484499999999	580.067322	-1.626549	-70.65975999999999	1.785843	-32.493694	-0.652049	0.0	-0.069875	-63.861629	17.661148	-18.503735	1.2340790000000001	-6.264481	-11.515941
-0.057261	0.0	0.130614	82.415749	595.3261110000001	-7.331148	-77.75779	1.586773	-34.089146	-0.6440739999999999	0.0	-0.073042	-64.270721	17.985751999999998	-18.925232	1.313717	-6.2562169999999995	-11.584161
-0.058609	0.0	0.139735	83.93605	612.5021360000001	-13.626068	-85.587967	1.477056	-35.898384	-0.63377	0.0	-0.07657699999999999	-64.688408	18.373875	-19.286657	1.407024	-6.281333	-11.644812
-0.059957	0.0	0.14902100000000001	85.76812	630.531067	-20.17687	-93.962379	1.484413	-37.805	-0.624073	0.0	-0.078277	-65.04806500000001	18.746223	-19.579657	1.467399	-6.319896	-11.699017999999999
-0.061265999999999994	0.0	0.158685	87.84214	649.06781	-27.033234000000004	-102.99762700000001	1.597063	-39.765640000000005	-0.618	0.0	-0.07749099999999999	-65.30703000000001	19.028696	-19.86179	1.474544	-6.3341330000000005	-11.759734
-0.06250800000000001	0.0	0.168827	89.995186	667.646057	-34.24374	-112.716698	1.7854419999999998	-41.733185	-0.612483	0.0	-0.074813	-65.486839	19.289209	-20.137291	1.443077	-6.334116000000001	-11.814305000000001
-0.063605	0.0	0.178944	91.890785	684.818909	-41.471519	-122.54396799999999	2.018008	-43.557915	-0.595658	0.0	-0.073038	-65.566147	19.873623000000002	-20.444088	1.451533	-6.384396	-11.837879
-0.064601	0.0	0.189621	93.353027	700.994507	-49.234916999999996	-132.923462	2.278122	-45.284866	-0.53967	0.0	-0.08164	-65.26281	21.867532999999998	-21.304679999999998	1.785275	-6.553803	-11.801259
-0.06541799999999999	0.0	0.200026	94.00795	714.2794190000001	-57.178955	-142.874451	2.4914419999999997	-46.727055	-0.43262700000000004	0.0	-0.10725799999999999	-63.976634999999995	26.938392999999998	-23.546379	2.889354	-6.8549240000000005	-11.654284
